epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,133.134,1.51605,1.01386,1.47014,0.77723,0.91667,0.82766,0.4267,1.84043,0.84018,1.93566,0.000548,0.000548,0.000548
46,135.762,1.50194,0.93507,1.47481,0.88825,0.83333,0.84731,0.44793,1.54535,0.812,1.75167,0.000515,0.000515,0.000515
47,138.366,1.54601,0.96196,1.50654,0.81823,0.83333,0.80425,0.43514,1.64862,0.77677,1.82227,0.000482,0.000482,0.000482
48,141.095,1.45831,0.92837,1.46893,0.81449,0.83333,0.81478,0.39679,1.7686,0.94566,1.87768,0.000449,0.000449,0.000449
49,144.493,1.48759,0.92943,1.48722,0.89424,0.91667,0.8579,0.41462,1.7372,0.8829,1.82112,0.000416,0.000416,0.000416
50,147.137,1.45881,0.95619,1.44822,0.91478,0.91667,0.8583,0.4367,1.69169,0.76676,1.72899,0.000383,0.000383,0.000383
51,152.197,1.44069,0.87253,1.59953,0.87507,0.83333,0.84241,0.47312,1.65153,0.74324,1.687,0.00035,0.00035,0.00035
52,155.938,1.4667,0.82969,1.63604,0.83688,0.91667,0.82787,0.47297,1.61352,0.75781,1.67769,0.000317,0.000317,0.000317
53,158.832,1.4582,0.7564,1.60473,0.83521,0.91667,0.81882,0.47493,1.66612,0.75111,1.7202,0.000284,0.000284,0.000284
54,161.501,1.40547,0.74718,1.57133,0.80483,0.91667,0.81979,0.45144,1.70775,0.73845,1.74177,0.000251,0.000251,0.000251
55,164.167,1.41311,0.71839,1.57995,0.89713,0.91667,0.86099,0.47209,1.7596,0.75063,1.77466,0.000218,0.000218,0.000218
56,166.761,1.42173,0.70586,1.61784,0.90181,0.91667,0.86114,0.48041,1.69471,0.72984,1.72947,0.000185,0.000185,0.000185
57,170.305,1.38961,0.73716,1.51862,0.90246,0.91667,0.86164,0.47429,1.65923,0.72057,1.70371,0.000152,0.000152,0.000152
58,172.862,1.36886,0.71586,1.5174,0.8979,0.91667,0.86182,0.47889,1.61934,0.71135,1.67697,0.000119,0.000119,0.000119
59,175.512,1.37717,0.70075,1.51644,0.88593,0.91667,0.85573,0.46999,1.61841,0.71252,1.67959,8.6e-05,8.6e-05,8.6e-05
60,178.182,1.29812,0.69912,1.4127,0.8745,0.91667,0.85639,0.46707,1.63066,0.72031,1.6901,5.3e-05,5.3e-05,5.3e-05
